664e9d24 17c 90 38   Note On Ab2 43
b5f8c432 90 3e 5e   Note On D3 94

b5f8c435 90 41 62   Note On F3 98

b5f8c438 90 46 69   Note On Bb3 105
b5f8c4f4 90 41 00   Note On(0-Off) F3

b5f8c4f6 90 3e 00   Note On(0-Off) D3

b5f8c4fb 90 46 00   Note On(0-Off) Bb3
b5f8c5bd 90 3e 5b   Note On D3 91

b5f8c5c0 90 46 6b   Note On Bb3 107

b5f8c5c2 90 41 60   Note On F3 96
b5f8c676 90 41 00   Note On(0-Off) F3

b5f8c67d 90 3e 00   Note On(0-Off) D3

b5f8c687 90 46 00   Note On(0-Off) Bb3
b5f8ce3f 90 3e 67   Note On D3 103

b5f8ce42 90 41 69   Note On F3 105

b5f8ce4c 90 46 6e   Note On Bb3 110
b5f8cf08 90 46 00   Note On(0-Off) Bb3

b5f8cf14 90 41 00   Note On(0-Off) F3

b5f8cf15 90 3e 00   Note On(0-Off) D3
b5f8cfde 90 46 64   Note On Bb3 100

b5f8cfe1 90 41 4f   Note On F3 79

b5f8cfe3 90 3e 49   Note On D3 73
b5f8d083 90 41 00   Note On(0-Off) F3

b5f8d084 90 3e 00   Note On(0-Off) D3
b5f8d0cf 90 46 00   Note On(0-Off) Bb3
b5f8d73a 90 3e 4d   Note On D3 77

b5f8d73e 90 41 67   Note On F3 103
b5f8d750 90 47 5f   Note On B3 95

b5f8d756 90 44 3a   Note On Ab3 58

b5f8d793 90 44 00   Note On(0-Off) Ab3
b5f8d7aa 90 47 00   Note On(0-Off) B3

b5f8d7c6 90 3e 00   Note On(0-Off) D3

b5f8d7d0 90 41 00   Note On(0-Off) F3
b5f8d87e 90 41 64   Note On F3 100

b5f8d880 90 46 6b   Note On Bb3 107

b5f8d882 90 3e 56   Note On D3 86
b5f8d922 90 3e 00   Note On(0-Off) D3

b5f8d92b 90 41 00   Note On(0-Off) F3
b5f8d946 90 46 00   Note On(0-Off) Bb3
b5f8da14 90 46 67   Note On Bb3 103

b5f8da19 90 3e 6b   Note On D3 107

b5f8da1b 90 41 6b   Note On F3 107
b5f8da9d 90 41 00   Note On(0-Off) F3

b5f8daa0 90 3e 00   Note On(0-Off) D3
b5f8dae8 90 46 00   Note On(0-Off) Bb3
b5f8e1c8 90 3e 5b   Note On D3 91

b5f8e1cd 90 41 64   Note On F3 100

b5f8e1d0 90 46 6b   Note On Bb3 107
b5f8e596 90 3e 00   Note On(0-Off) D3

b5f8e5a0 90 46 00   Note On(0-Off) Bb3

b5f8e5b9 90 41 00   Note On(0-Off) F3
b5f8e689 90 41 6d   Note On F3 109
b5f8eef0 90 41 00   Note On(0-Off) F3
b5f8f576 90 41 6d   Note On F3 109
b5f8face 90 41 00   Note On(0-Off) F3
b5f901e1 90 43 66   Note On G3 102
b5f903b7 90 43 00   Note On(0-Off) G3
b5f90b5d 90 45 72   Note On A3 114
b5f90ee7 90 45 00   Note On(0-Off) A3
b5f90fae 90 48 5e   Note On C4 94
b5f91183 90 48 00   Note On(0-Off) C4
b5f91862 90 46 72   Note On Bb3 114
b5f919da 90 43 42   Note On G3 66

b5f919e0 90 46 00   Note On(0-Off) Bb3
b5f91adc 90 43 00   Note On(0-Off) G3
b5f91b14 90 46 72   Note On Bb3 114
b5f91c69 90 46 00   Note On(0-Off) Bb3

b5f91c6b 90 43 49   Note On G3 73
b5f91d32 90 43 00   Note On(0-Off) G3
b5f91d8d 90 46 7b   Note On Bb3 123
b5f91f8b 90 48 60   Note On C4 96

b5f91f8d 90 46 00   Note On(0-Off) Bb3
b5f920e4 90 48 00   Note On(0-Off) C4
b5f92279 90 43 5f   Note On G3 95
b5f92375 90 46 66   Note On Bb3 102

b5f923a9 90 43 00   Note On(0-Off) G3
b5f92481 90 46 00   Note On(0-Off) Bb3

b5f9248a 90 43 45   Note On G3 69
b5f92597 90 46 69   Note On Bb3 105
b5f925c6 90 43 00   Note On(0-Off) G3
b5f926e8 90 46 00   Note On(0-Off) Bb3

b5f926ec 90 43 5e   Note On G3 94
b5f92963 90 41 62   Note On F3 98

b5f9298e 90 43 00   Note On(0-Off) G3
b5f92ff8 90 41 00   Note On(0-Off) F3
b5f9369a 90 2b 3e   Note On G1 62

b5f9369c 90 43 49   Note On G3 73

b5f936a0 90 4a 62   Note On D4 98

b5f936a6 90 46 49   Note On Bb3 73
b5f9376e 90 2b 00   Note On(0-Off) G1
b5f93784 90 4a 00   Note On(0-Off) D4

b5f93790 90 43 00   Note On(0-Off) G3

b5f93796 90 46 00   Note On(0-Off) Bb3
b5f93845 90 46 59   Note On Bb3 89

b5f9384d 90 43 3c   Note On G3 60

b5f93851 90 2b 49   Note On G1 73

b5f93852 90 4a 60   Note On D4 96
b5f93911 90 46 00   Note On(0-Off) Bb3

b5f93915 90 4a 00   Note On(0-Off) D4

b5f93918 90 2b 00   Note On(0-Off) G1

b5f9391f 90 43 00   Note On(0-Off) G3
b5f939e1 90 46 4f   Note On Bb3 79

b5f939e4 90 43 3e   Note On G3 62

b5f939e6 90 2b 49   Note On G1 73

b5f939e9 90 4a 59   Note On D4 89
b5f93a82 90 46 00   Note On(0-Off) Bb3

b5f93a87 90 4a 00   Note On(0-Off) D4

b5f93aa0 90 43 00   Note On(0-Off) G3

b5f93aa5 90 2b 00   Note On(0-Off) G1
b5f93bcb 90 2b 5e   Note On G1 94

b5f93bd6 90 46 6b   Note On Bb3 107

b5f93bd7 90 43 4f   Note On G3 79

b5f93bda 90 4a 6b   Note On D4 107
b5f93c71 90 4a 00   Note On(0-Off) D4
b5f93c77 90 46 00   Note On(0-Off) Bb3

b5f93c7f 90 43 00   Note On(0-Off) G3

b5f93ca3 90 2b 00   Note On(0-Off) G1
b5f93e0f 90 2d 6b   Note On A1 107

b5f93e11 90 45 60   Note On A3 96

b5f93e16 90 4c 64   Note On E4 100
b5f93e8f 90 45 00   Note On(0-Off) A3

b5f93ea1 90 4c 00   Note On(0-Off) E4

b5f93ea4 90 2d 00   Note On(0-Off) A1
b5f93f75 90 2e 72   Note On Bb1 114

b5f93f8d 90 43 4f   Note On G3 79
b5f93fa4 90 4c 6b   Note On E4 107

b5f93fee 90 4c 00   Note On(0-Off) E4
b5f94033 90 43 00   Note On(0-Off) G3

b5f94049 90 2e 00   Note On(0-Off) Bb1
b5f9411f 90 4a 60   Note On D4 96

b5f94122 90 46 44   Note On Bb3 68

b5f94123 90 41 47   Note On F3 71

b5f94133 90 2e 64   Note On Bb1 100
b5f941d3 90 46 00   Note On(0-Off) Bb3

b5f941d3 90 41 00   Note On(0-Off) F3

b5f941dd 90 2e 00   Note On(0-Off) Bb1

b5f941e4 90 4a 00   Note On(0-Off) D4
b5f942d1 90 2e 6b   Note On Bb1 107

b5f942de 90 46 64   Note On Bb3 100

b5f942e6 90 4a 60   Note On D4 96

b5f942ee 90 41 20   Note On F3 32
b5f9435a 90 4a 00   Note On(0-Off) D4

b5f9435d 90 41 00   Note On(0-Off) F3

b5f94360 90 46 00   Note On(0-Off) Bb3

b5f94369 90 2e 00   Note On(0-Off) Bb1
b5f9448c 90 2e 6b   Note On Bb1 107

b5f944b8 90 4a 66   Note On D4 102
b5f944c0 90 46 66   Note On Bb3 102

b5f944c2 90 41 4d   Note On F3 77
b5f94526 90 2e 00   Note On(0-Off) Bb1

b5f94531 90 46 00   Note On(0-Off) Bb3

b5f94533 90 41 00   Note On(0-Off) F3

b5f94537 90 4a 00   Note On(0-Off) D4
b5f9470f 90 4c 56   Note On E4 86

b5f94714 90 48 4b   Note On C4 75

b5f94718 90 43 49   Note On G3 73
b5f94748 90 24 74   Note On C1 116
b5f947a0 90 48 00   Note On(0-Off) C4

b5f947a4 90 43 00   Note On(0-Off) G3

b5f947aa 90 4c 00   Note On(0-Off) E4

b5f947da 90 24 00   Note On(0-Off) C1
b5f94876 90 45 59   Note On A3 89

b5f94878 90 4d 6b   Note On F4 107

b5f94879 90 4a 69   Note On D4 105

b5f9487e 90 26 6d   Note On D1 109
b5f94922 90 4a 00   Note On(0-Off) D4

b5f94930 90 4d 00   Note On(0-Off) F4

b5f9493e 90 45 00   Note On(0-Off) A3

b5f94954 90 26 00   Note On(0-Off) D1
b5f94a38 90 26 4d   Note On D1 77

b5f94a41 90 4d 67   Note On F4 103

b5f94a44 90 4a 67   Note On D4 103

b5f94a47 90 45 4d   Note On A3 77
b5f94ac7 90 4a 00   Note On(0-Off) D4

b5f94acc 90 45 00   Note On(0-Off) A3

b5f94ad8 90 4d 00   Note On(0-Off) F4

b5f94afc 90 26 00   Note On(0-Off) D1
b5f94bfa 90 26 5e   Note On D1 94

b5f94c07 90 4d 6b   Note On F4 107

b5f94c0f 90 4a 6b   Note On D4 107

b5f94c10 90 45 52   Note On A3 82
b5f94c92 90 45 00   Note On(0-Off) A3

b5f94c93 90 4a 00   Note On(0-Off) D4

b5f94c9b 90 4d 00   Note On(0-Off) F4
b5f94ca9 90 26 00   Note On(0-Off) D1
b5f94de7 90 26 6d   Note On D1 109

b5f94e05 90 4d 5f   Note On F4 95

b5f94e06 90 45 62   Note On A3 98

b5f94e07 90 4a 6b   Note On D4 107
b5f94e9a 90 45 00   Note On(0-Off) A3
b5f94ebd 90 4a 00   Note On(0-Off) D4

b5f94ed8 90 26 00   Note On(0-Off) D1

b5f94ed9 90 4d 00   Note On(0-Off) F4
b5f94ffc 90 28 70   Note On E1 112

b5f95012 90 48 60   Note On C4 96

b5f95013 90 4f 67   Note On G4 103

b5f95016 90 4c 6d   Note On E4 109
b5f9508a 90 4c 00   Note On(0-Off) E4
b5f950a1 90 48 00   Note On(0-Off) C4

b5f950ae 90 4f 00   Note On(0-Off) G4

b5f950b8 90 28 00   Note On(0-Off) E1
b5f9515c 90 29 76   Note On F1 118

b5f95161 90 4d 72   Note On F4 114
b5f95164 90 51 67   Note On A4 103

b5f95166 90 48 4d   Note On C4 77
b5f95211 90 4d 00   Note On(0-Off) F4

b5f95217 90 29 00   Note On(0-Off) F1

b5f95221 90 51 00   Note On(0-Off) A4

b5f95226 90 48 00   Note On(0-Off) C4
b5f9531c 90 29 67   Note On F1 103

b5f95323 90 48 59   Note On C4 89

b5f95324 90 51 5e   Note On A4 94

b5f95326 90 4d 6b   Note On F4 107
b5f953cc 90 29 00   Note On(0-Off) F1

b5f953d4 90 4d 00   Note On(0-Off) F4

b5f953dc 90 48 00   Note On(0-Off) C4

b5f953e4 90 51 00   Note On(0-Off) A4
b5f954d4 90 4d 6d   Note On F4 109

b5f954d6 90 51 64   Note On A4 100

b5f954d9 90 48 5f   Note On C4 95

b5f954da 90 29 72   Note On F1 114
b5f95587 90 4d 00   Note On(0-Off) F4

b5f9558f 90 48 00   Note On(0-Off) C4

b5f9559b 90 51 00   Note On(0-Off) A4

b5f955a7 90 29 00   Note On(0-Off) F1
b5f956a9 90 29 6d   Note On F1 109

b5f956b9 90 48 52   Note On C4 82

b5f956be 90 51 66   Note On A4 102

b5f956bf 90 4d 6d   Note On F4 109
b5f95746 90 4d 00   Note On(0-Off) F4
b5f95751 90 29 00   Note On(0-Off) F1

b5f9575e 90 48 00   Note On(0-Off) C4

b5f95769 90 51 00   Note On(0-Off) A4
b5f958ab 90 29 70   Note On F1 112

b5f958b5 90 51 6b   Note On A4 107

b5f958b6 90 4d 72   Note On F4 114

b5f958b9 90 48 5b   Note On C4 91
b5f9591f 90 48 00   Note On(0-Off) C4

b5f9592e 90 4d 00   Note On(0-Off) F4

b5f9592f 90 51 00   Note On(0-Off) A4

b5f9593a 90 29 00   Note On(0-Off) F1
b5f959e8 90 2b 6b   Note On G1 107

b5f959f8 90 4a 6e   Note On D4 110

b5f959f9 90 4f 62   Note On G4 98

b5f95a03 90 46 62   Note On Bb3 98
b5f95a3a 90 46 00   Note On(0-Off) Bb3

b5f95a88 90 4a 00   Note On(0-Off) D4

b5f95a8e 90 2b 00   Note On(0-Off) G1
b5f95ab3 90 4f 00   Note On(0-Off) G4
b5f95b8c 90 4a 66   Note On D4 102

b5f95b8e 90 46 4b   Note On Bb3 75

b5f95b97 90 4f 5e   Note On G4 94

b5f95b9c 90 2b 64   Note On G1 100
b5f95c34 90 46 00   Note On(0-Off) Bb3

b5f95c36 90 4a 00   Note On(0-Off) D4

b5f95c38 90 4f 00   Note On(0-Off) G4

b5f95c44 90 2b 00   Note On(0-Off) G1
b5f95d1d 90 4a 62   Note On D4 98

b5f95d23 90 4f 56   Note On G4 86

b5f95d25 90 46 3d   Note On Bb3 61

b5f95d32 90 2b 52   Note On G1 82
b5f95dc1 90 4a 00   Note On(0-Off) D4

b5f95dc2 90 2b 00   Note On(0-Off) G1

b5f95dc4 90 4f 00   Note On(0-Off) G4

b5f95dd3 90 46 00   Note On(0-Off) Bb3
b5f95f1b 90 2b 62   Note On G1 98

b5f95f21 90 4a 6d   Note On D4 109

b5f95f24 90 4f 66   Note On G4 102

b5f95f25 90 46 66   Note On Bb3 102
b5f95fe0 90 2b 00   Note On(0-Off) G1

b5f95fe5 90 4f 00   Note On(0-Off) G4

b5f95fea 90 4a 00   Note On(0-Off) D4

b5f95ff2 90 46 00   Note On(0-Off) Bb3
b5f960ec 90 4d 5f   Note On F4 95

b5f960f7 90 4a 64   Note On D4 100

b5f960fc 90 29 69   Note On F1 105

b5f96101 90 46 3d   Note On Bb3 61
b5f96181 90 4a 00   Note On(0-Off) D4

b5f9618f 90 46 00   Note On(0-Off) Bb3

b5f961ae 90 29 00   Note On(0-Off) F1
b5f961c3 90 4d 00   Note On(0-Off) F4
b5f96288 90 48 2f   Note On C4 47

b5f96288 90 2f 76   Note On B1 118
b5f962a0 90 2e 2b   Note On Bb1 43

b5f962a0 90 4d 70   Note On F4 112

b5f962a0 90 52 79   Note On Bb4 121

b5f962a0 90 4a 20   Note On D4 32

b5f962ae 90 51 6e   Note On A4 110

b5f962c5 90 48 00   Note On(0-Off) C4

b5f962e8 90 52 00   Note On(0-Off) Bb4

b5f962ea 90 51 00   Note On(0-Off) A4
b5f962f6 90 4d 00   Note On(0-Off) F4

b5f962fc 90 2f 00   Note On(0-Off) B1

b5f962ff 90 2e 00   Note On(0-Off) Bb1

b5f9631b 90 4a 00   Note On(0-Off) D4
b5f96432 90 52 59   Note On Bb4 89

b5f96432 90 2e 6e   Note On Bb1 110

b5f96432 90 4a 3a   Note On D4 58
b5f964d6 90 52 00   Note On(0-Off) Bb4

b5f964d6 90 4a 00   Note On(0-Off) D4

b5f964d7 90 2e 00   Note On(0-Off) Bb1
b5f965b4 90 4d 66   Note On F4 102

b5f965b4 90 4a 44   Note On D4 68

b5f965b4 90 2e 69   Note On Bb1 105

b5f965b4 90 52 60   Note On Bb4 96
b5f9665a 90 4a 00   Note On(0-Off) D4

b5f9665a 90 4d 00   Note On(0-Off) F4

b5f9665c 90 2e 00   Note On(0-Off) Bb1

b5f96663 90 52 00   Note On(0-Off) Bb4
b5f967b5 90 2e 72   Note On Bb1 114

b5f967b5 90 4d 64   Note On F4 100

b5f967b5 90 52 69   Note On Bb4 105

b5f967b5 90 4a 5e   Note On D4 94
b5f96877 90 4a 00   Note On(0-Off) D4

b5f96877 90 2e 00   Note On(0-Off) Bb1

b5f96877 90 4d 00   Note On(0-Off) F4

b5f968c5 90 52 00   Note On(0-Off) Bb4
b5f96a34 90 24 7d   Note On C1 125

b5f96a34 90 54 40   Note On C5 64

b5f96a83 90 4c 49   Note On E4 73

b5f96a83 90 4f 2b   Note On G4 43
b5f96ac9 90 4f 00   Note On(0-Off) G4

b5f96ae4 90 4c 00   Note On(0-Off) E4

b5f96ae9 90 24 00   Note On(0-Off) C1

b5f96aea 90 54 00   Note On(0-Off) C5
b5f96ba4 90 4f 6b   Note On G4 107

b5f96ba6 90 54 6b   Note On C5 107

b5f96ba8 90 4c 5e   Note On E4 94

b5f96bb3 90 26 6e   Note On D1 110
b5f96c14 90 4c 00   Note On(0-Off) E4

b5f96c2c 90 4f 00   Note On(0-Off) G4
b5f96c73 90 54 00   Note On(0-Off) C5

b5f96c8a 90 26 00   Note On(0-Off) D1
b5f96d04 90 56 4f   Note On D5 79

b5f96d06 90 51 3e   Note On A4 62
b5f96d12 90 4d 31   Note On F4 49

b5f96d20 90 26 5f   Note On D1 95
b5f96db0 90 51 00   Note On(0-Off) A4

b5f96db2 90 4d 00   Note On(0-Off) F4

b5f96db3 90 56 00   Note On(0-Off) D5

b5f96db9 90 26 00   Note On(0-Off) D1
b5f96eb2 90 26 59   Note On D1 89

b5f96ec4 90 51 67   Note On A4 103

b5f96ec8 90 4d 5b   Note On F4 91

b5f96ec9 90 56 6e   Note On D5 110
b5f96f3a 90 4d 00   Note On(0-Off) F4

b5f96f44 90 51 00   Note On(0-Off) A4

b5f96f5c 90 56 00   Note On(0-Off) D5

b5f96f60 90 26 00   Note On(0-Off) D1
b5f97087 90 26 5f   Note On D1 95

b5f9709e 90 56 6e   Note On D5 110
b5f970a0 90 51 67   Note On A4 103

b5f970a4 90 4d 4b   Note On F4 75
b5f9710d 90 4d 00   Note On(0-Off) F4

b5f9712c 90 51 00   Note On(0-Off) A4

b5f97142 90 56 00   Note On(0-Off) D5
b5f9716d 90 26 00   Note On(0-Off) D1
b5f97298 90 26 69   Note On D1 105

b5f972a7 90 51 66   Note On A4 102

b5f972a9 90 56 6e   Note On D5 110

b5f972ae 90 4d 56   Note On F4 86
b5f97316 90 4d 00   Note On(0-Off) F4

b5f9732d 90 51 00   Note On(0-Off) A4

b5f97330 90 56 00   Note On(0-Off) D5

b5f9733f 90 26 00   Note On(0-Off) D1
b5f973e1 90 54 6b   Note On C5 107

b5f973e4 90 4d 66   Note On F4 102

b5f973e6 90 51 69   Note On A4 105

b5f973f1 90 28 69   Note On E1 105
b5f9744a 90 51 00   Note On(0-Off) A4

b5f9744c 90 4d 00   Note On(0-Off) F4

b5f97451 90 54 00   Note On(0-Off) C5

b5f97493 90 28 00   Note On(0-Off) E1
b5f97576 90 29 67   Note On F1 103

b5f9757d 90 51 4d   Note On A4 77

b5f97588 90 4d 3a   Note On F4 58
b5f9761d 90 4d 00   Note On(0-Off) F4
b5f9762b 90 29 00   Note On(0-Off) F1

b5f9762d 90 51 00   Note On(0-Off) A4
b5f97737 90 29 40   Note On F1 64

b5f9773c 90 4d 59   Note On F4 89

b5f97741 90 51 60   Note On A4 96
b5f977bf 90 4d 00   Note On(0-Off) F4

b5f977c5 90 29 00   Note On(0-Off) F1

b5f977c9 90 51 00   Note On(0-Off) A4
b5f97905 90 29 3e   Note On F1 62

b5f9790f 90 4d 4b   Note On F4 75

b5f97911 90 51 56   Note On A4 86
b5f97977 90 51 00   Note On(0-Off) A4

b5f97983 90 4d 00   Note On(0-Off) F4

b5f979a7 90 29 00   Note On(0-Off) F1
b5f97c69 90 37 69   Note On G2 105
b5f97d5c 90 37 00   Note On(0-Off) G2
b5f9825a 90 46 72   Note On Bb3 114
b5f98382 90 46 00   Note On(0-Off) Bb3
b5f983f3 90 48 5e   Note On C4 94
b5f9850c 90 48 00   Note On(0-Off) C4
b5f98574 90 46 70   Note On Bb3 112
b5f9861b 90 46 00   Note On(0-Off) Bb3
b5f986b6 90 48 67   Note On C4 103
b5f987d8 90 2b 64   Note On G1 100
b5f988f6 90 4a 6b   Note On D4 107

b5f988fd 90 48 00   Note On(0-Off) C4
b5f98aab 90 4a 00   Note On(0-Off) D4
b5f98ba5 90 2b 00   Note On(0-Off) G1
b5f98de1 90 2b 28   Note On G1 40
b5f98e4e 90 3e 67   Note On D3 103
b5f98f37 90 3e 00   Note On(0-Off) D3
b5f98f86 90 41 69   Note On F3 105
b5f99061 90 41 00   Note On(0-Off) F3
b5f990fc 90 3e 6b   Note On D3 107

b5f99105 90 40 60   Note On E3 96
b5f99159 90 40 00   Note On(0-Off) E3
b5f99188 90 3e 00   Note On(0-Off) D3
b5f9925b 90 41 70   Note On F3 112
b5f9945b 90 41 00   Note On(0-Off) F3

b5f99466 90 43 64   Note On G3 100
b5f9975e 90 43 00   Note On(0-Off) G3
b5f997ec 90 2b 00   Note On(0-Off) G1
b5f9a19d 90 2b 4b   Note On G1 75

b5f9a1ca 90 3e 67   Note On D3 103
b5f9a2cb 90 3e 00   Note On(0-Off) D3
b5f9a4da 90 2b 00   Note On(0-Off) G1
b5f9a6d4 90 2b 44   Note On G1 68
b5f9a839 90 4a 6e   Note On D4 110
b5f9a925 90 4a 00   Note On(0-Off) D4
b5f9a9ab 90 4d 72   Note On F4 114
b5f9aa78 90 4d 00   Note On(0-Off) F4
b5f9ab13 90 4a 67   Note On D4 103
b5f9abbf 90 4a 00   Note On(0-Off) D4
b5f9ac75 90 4d 72   Note On F4 114
b5f9ae4d 90 4d 00   Note On(0-Off) F4
b5f9afc5 90 4a 4f   Note On D4 79
b5f9b242 90 4a 00   Note On(0-Off) D4
b5f9b711 90 4a 67   Note On D4 103
b5f9b7ad 90 4a 00   Note On(0-Off) D4
b5f9b861 90 4a 40   Note On D4 64
b5f9b895 90 4a 00   Note On(0-Off) D4
b5f9b915 90 4d 79   Note On F4 121
b5f9b961 90 2e 5f   Note On Bb1 95

b5f9b999 90 2b 00   Note On(0-Off) G1
b5f9bad4 90 4d 00   Note On(0-Off) F4

b5f9bb12 90 4a 64   Note On D4 100
b5f9bbed 90 4a 00   Note On(0-Off) D4
b5f9bf1d 90 4a 6b   Note On D4 107
b5f9bff5 90 4a 00   Note On(0-Off) D4

b5f9c02d 90 48 4d   Note On C4 77
b5f9c174 90 24 60   Note On C1 96

b5f9c181 90 2e 00   Note On(0-Off) Bb1
b5f9c55d 90 24 00   Note On(0-Off) C1
b5f9c5d6 90 26 62   Note On D1 98
b5f9cba5 90 29 67   Note On F1 103

b5f9cbbf 90 26 00   Note On(0-Off) D1
b5f9d801 90 48 00   Note On(0-Off) C4
b5f9dcf6 90 2b 4b   Note On G1 75

b5f9dcf7 90 29 00   Note On(0-Off) F1
b5f9de64 90 2b 00   Note On(0-Off) G1
b5f9df1b 90 4a 6d   Note On D4 109

b5f9df1b 90 43 56   Note On G3 86

b5f9df1b 90 2b 40   Note On G1 64

b5f9df1b 90 46 42   Note On Bb3 66
b5f9dfae 90 46 00   Note On(0-Off) Bb3

b5f9dfae 90 43 00   Note On(0-Off) G3

b5f9dfaf 90 4a 00   Note On(0-Off) D4

b5f9dfaf 90 2b 00   Note On(0-Off) G1
b5f9e0df 90 2b 52   Note On G1 82

b5f9e0e0 90 46 64   Note On Bb3 100

b5f9e0e0 90 43 49   Note On G3 73
b5f9e0e4 90 4a 62   Note On D4 98
b5f9e16e 90 43 00   Note On(0-Off) G3

b5f9e16e 90 46 00   Note On(0-Off) Bb3

b5f9e171 90 2b 00   Note On(0-Off) G1

b5f9e174 90 4a 00   Note On(0-Off) D4
b5f9e2cb 90 2b 59   Note On G1 89

b5f9e2de 90 4a 6b   Note On D4 107

b5f9e2e2 90 43 4b   Note On G3 75

b5f9e2e4 90 46 67   Note On Bb3 103
b5f9e366 90 43 00   Note On(0-Off) G3

b5f9e376 90 46 00   Note On(0-Off) Bb3

b5f9e379 90 4a 00   Note On(0-Off) D4

b5f9e398 90 2b 00   Note On(0-Off) G1
b5f9e503 90 2d 70   Note On A1 112

b5f9e51d 90 43 4b   Note On G3 75

b5f9e520 90 4c 5b   Note On E4 91

b5f9e52d 90 48 45   Note On C4 69
b5f9e573 90 2d 00   Note On(0-Off) A1

b5f9e589 90 48 00   Note On(0-Off) C4

b5f9e596 90 43 00   Note On(0-Off) G3

b5f9e59e 90 4c 00   Note On(0-Off) E4
b5f9e664 90 46 72   Note On Bb3 114

b5f9e66a 90 4a 62   Note On D4 98

b5f9e66e 90 2b 66   Note On G1 102

b5f9e670 90 43 49   Note On G3 73
b5f9e6da 90 4a 00   Note On(0-Off) D4

b5f9e6de 90 43 00   Note On(0-Off) G3

b5f9e6e6 90 46 00   Note On(0-Off) Bb3
b5f9e717 90 2b 00   Note On(0-Off) G1
b5f9e84a 90 2b 64   Note On G1 100

b5f9e862 90 4a 5e   Note On D4 94

b5f9e864 90 43 3f   Note On G3 63

b5f9e865 90 46 67   Note On Bb3 103
b5f9e8d8 90 43 00   Note On(0-Off) G3

b5f9e8d8 90 4a 00   Note On(0-Off) D4

b5f9e8d9 90 46 00   Note On(0-Off) Bb3

b5f9e8e8 90 2b 00   Note On(0-Off) G1
b5f9ea08 90 2b 6b   Note On G1 107

b5f9ea25 90 46 6b   Note On Bb3 107

b5f9ea29 90 4a 66   Note On D4 102

b5f9ea2b 90 43 4d   Note On G3 77
b5f9eaa5 90 46 00   Note On(0-Off) Bb3

b5f9eaaa 90 43 00   Note On(0-Off) G3

b5f9eaad 90 4a 00   Note On(0-Off) D4

b5f9eacd 90 2b 00   Note On(0-Off) G1
b5f9ec60 90 2b 52   Note On G1 82

b5f9ec63 90 4a 64   Note On D4 100

b5f9ec6e 90 46 60   Note On Bb3 96

b5f9ec73 90 43 3a   Note On G3 58
b5f9ecd8 90 4a 00   Note On(0-Off) D4

b5f9ecea 90 46 00   Note On(0-Off) Bb3

b5f9eceb 90 43 00   Note On(0-Off) G3
b5f9ecf9 90 2b 00   Note On(0-Off) G1
b5f9eeb4 90 2d 6b   Note On A1 107

b5f9eecf 90 4d 67   Note On F4 103

b5f9eed3 90 48 5f   Note On C4 95

b5f9eed7 90 45 4b   Note On A3 75
b5f9ef58 90 4d 00   Note On(0-Off) F4

b5f9ef5c 90 48 00   Note On(0-Off) C4

b5f9ef63 90 45 00   Note On(0-Off) A3

b5f9ef6c 90 2d 00   Note On(0-Off) A1
b5f9f02b 90 4a 67   Note On D4 103

b5f9f031 90 43 3f   Note On G3 63

b5f9f032 90 46 66   Note On Bb3 102

b5f9f034 90 2b 5f   Note On G1 95
b5f9f0ae 90 4a 00   Note On(0-Off) D4

b5f9f0b7 90 46 00   Note On(0-Off) Bb3

b5f9f0bd 90 43 00   Note On(0-Off) G3

b5f9f0df 90 2b 00   Note On(0-Off) G1
b5f9f21b 90 2b 5f   Note On G1 95

b5f9f22a 90 4a 66   Note On D4 102

b5f9f22f 90 43 3e   Note On G3 62

b5f9f230 90 46 5f   Note On Bb3 95
b5f9f2cd 90 46 00   Note On(0-Off) Bb3

b5f9f2cf 90 4a 00   Note On(0-Off) D4

b5f9f2d1 90 43 00   Note On(0-Off) G3
b5f9f301 90 2b 00   Note On(0-Off) G1
b5f9f3f4 90 2b 60   Note On G1 96

b5f9f401 90 4a 5e   Note On D4 94

b5f9f402 90 46 62   Note On Bb3 98

b5f9f403 90 43 49   Note On G3 73
b5f9f472 90 46 00   Note On(0-Off) Bb3
b5f9f47e 90 43 00   Note On(0-Off) G3

b5f9f48b 90 4a 00   Note On(0-Off) D4

b5f9f49b 90 2b 00   Note On(0-Off) G1
b5f9f5f0 90 2b 6d   Note On G1 109

b5f9f5ff 90 46 66   Note On Bb3 102

b5f9f601 90 4a 67   Note On D4 103

b5f9f605 90 43 3a   Note On G3 58
b5f9f675 90 43 00   Note On(0-Off) G3
b5f9f67a 90 46 00   Note On(0-Off) Bb3

b5f9f67f 90 4a 00   Note On(0-Off) D4

b5f9f6be 90 2b 00   Note On(0-Off) G1
b5f9f819 90 48 5e   Note On C4 94

